"","sa3","name","earners","age","tot.income","med.income","av.income","sa3_1","State","Capital","origin","destination","dist_num","dist_txt","time_secs","time_mins","time_hours","time_txt","return_stat","status","error_message"
"1",10102,"Queanbeyan",31945,42,1901877963,51858,59536.0138675849,1,"NSW","Sydney","Queanbeyan NSW 2620, Australia","Sydney NSW, Australia",289.65,"290 km",10907,181.78,3.03,"3 hours 2 mins","OK","OK",""
"2",10103,"Snowy Mountains",10155,46,438208380,35884,43151.9822747415,1,"NSW","Sydney","Snowy Mountains, Kosciuszko National Park NSW 2627, Australia","Sydney NSW, Australia",492.49,"492 km",19232,320.53,5.34,"5 hours 21 mins","OK","OK",""
"3",10104,"South Coast",36044,50,1377225262,30908,38209.5567084674,1,"NSW","Sydney","South Coast, NSW, Australia","Sydney NSW, Australia",484.43,"484 km",18896,314.93,5.25,"5 hours 15 mins","OK","OK",""
"4",10105,"Goulburn - Mulwaree",17419,45,781081596,38269,44840.7828233538,1,"NSW","Sydney","Goulburn Mulwaree, NSW, Australia","Sydney NSW, Australia",209.32,"209 km",8159,135.98,2.27,"2 hours 16 mins","OK","OK",""
"5",10106,"Young - Yass",18574,45,910140382,39489,49000.7743081727,1,"NSW","Sydney","Young NSW 2594, Australia","Sydney NSW, Australia",374.02,"374 km",14262,237.7,3.96,"3 hours 58 mins","OK","OK",""
"6",10201,"Gosford",88746,45,4290439095,38189,48345.1546548577,1,"NSW","Sydney","Gosford NSW 2250, Australia","Sydney NSW, Australia",75.78,"75.8 km",3953,65.88,1.1,"1 hour 6 mins","OK","OK",""
"7",10202,"Wyong",73471,42,3194271659,37082,43476.6323991779,1,"NSW","Sydney","Wyong NSW 2259, Australia","Sydney NSW, Australia",94.19,"94.2 km",4552,75.87,1.26,"1 hour 16 mins","OK","OK",""
"8",10301,"Bathurst",22830,43,1096994692,40497,48050.5778361805,1,"NSW","Sydney","Bathurst NSW 2795, Australia","Sydney NSW, Australia",200.14,"200 km",10296,171.6,2.86,"2 hours 52 mins","OK","OK",""
"9",10302,"Lachlan Valley",27967,46,1212688121,34752,43361.3945364179,1,"NSW","Sydney","Lachlan Valley Way, New South Wales, Australia","Sydney NSW, Australia",304.87,"305 km",11278,187.97,3.13,"3 hours 8 mins","OK","OK",""
"10",10303,"Lithgow - Mudgee",21463,45,1037363504,37354,48332.6424078647,1,"NSW","Sydney","Lithgow NSW 2790, Australia","Sydney NSW, Australia",140.93,"141 km",7395,123.25,2.05,"2 hours 3 mins","OK","OK",""
"11",10304,"Orange",28974,43,1436278066,41241,49571.2730724097,1,"NSW","Sydney","Orange NSW 2800, Australia","Sydney NSW, Australia",254.38,"254 km",12868,214.47,3.57,"3 hours 34 mins","OK","OK",""
"12",10401,"Clarence Valley",23535,48,835613303,29412,35505.1329084342,1,"NSW","Sydney","Clarence Valley, NSW, Australia","Sydney NSW, Australia",656.3,"656 km",26645,444.08,7.4,"7 hours 24 mins","OK","OK",""
"13",10402,"Coffs Harbour",43053,46,1694702610,31848,39363.1712075814,1,"NSW","Sydney","Coffs Harbour NSW 2450, Australia","Sydney NSW, Australia",525.01,"525 km",20003,333.38,5.56,"5 hours 33 mins","OK","OK",""
