"","origin","destination","dist_num","dist_txt","time_secs","time_mins","time_hours","time_txt","return_stat","status","error_message","input_url"
"1","Queanbeyan NSW 2620, Australia","Sydney NSW, Australia",289.71,"290 km",11027,183.78,3.06,"3 hours 4 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Queanbeyan%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"2","Snowy Mountains, Kosciuszko National Park NSW 2627, Australia","Sydney NSW, Australia",492.49,"492 km",19277,321.28,5.35,"5 hours 21 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Snowy%20Mountains%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"3","South Coast, NSW, Australia","Sydney NSW, Australia",484.43,"484 km",18897,314.95,5.25,"5 hours 15 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=South%20Coast%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"4","Goulburn NSW 2580, Australia","Sydney NSW, Australia",194.62,"195 km",7518,125.3,2.09,"2 hours 5 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Goulburn%20-%20Mulwaree%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"5","Yass St, Young NSW 2594, Australia","Sydney NSW, Australia",372.61,"373 km",14033,233.88,3.9,"3 hours 54 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Young%20-%20Yass%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"6","Gosford NSW 2250, Australia","Sydney NSW, Australia",75.79,"75.8 km",4000,66.67,1.11,"1 hour 7 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Gosford%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"7","Wyong NSW 2259, Australia","Sydney NSW, Australia",94.19,"94.2 km",4511,75.18,1.25,"1 hour 15 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Wyong%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"8","Bathurst NSW 2795, Australia","Sydney NSW, Australia",200.15,"200 km",10336,172.27,2.87,"2 hours 52 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Bathurst%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"9","Lachlan Valley Way, New South Wales, Australia","Sydney NSW, Australia",304.87,"305 km",11252,187.53,3.13,"3 hours 8 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Lachlan%20Valley%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"10","Mudgee St, South Bowenfels NSW 2790, Australia","Sydney NSW, Australia",135.75,"136 km",7570,126.17,2.1,"2 hours 6 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Lithgow%20-%20Mudgee%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
