"","data.sa3_name","drive_time.origin","data.state","drive_time.time_mins","data.mean"
"1","Queanbeyan","Queanbeyan NSW 2620, Australia","NSW",183.78,66436.2224
"2","Snowy Mountains","Snowy Mountains, Kosciuszko National Park NSW 2627, Australia","NSW",321.28,48153.3168
"3","South Coast","South Coast, NSW, Australia","NSW",314.95,42638.539
"4","Goulburn - Mulwaree","Goulburn NSW 2580, Australia","NSW",125.3,50038.0719
"5","Young - Yass","Yass St, Young NSW 2594, Australia","NSW",233.88,54680.2159
"6","Gosford","Gosford NSW 2250, Australia","NSW",66.67,53948.1855
"7","Wyong","Wyong NSW 2259, Australia","NSW",75.18,48515.9843
"8","Bathurst","Bathurst NSW 2795, Australia","NSW",172.27,53620.1109
"9","Lachlan Valley","Lachlan Valley Way, New South Wales, Australia","NSW",187.53,48386.5399
"10","Lithgow - Mudgee","Mudgee St, South Bowenfels NSW 2790, Australia","NSW",126.17,53934.7947
"11","Orange","Orange NSW 2800, Australia","NSW",213.68,55316.2789
"12","Clarence Valley","Clarence Valley, NSW, Australia","NSW",456.53,39620.0295
"13","Coffs Harbour","Coffs Harbour NSW 2450, Australia","NSW",340.8,43925.1717
"14","Bourke - Cobar - Coonamble","","NSW",NA,54182.5245
"15","Broken Hill and Far West","Broken Hill NSW 2880, Australia","NSW",773.3,51906.0885
"16","Dubbo","Dubbo NSW 2830, Australia","NSW",301.32,49281.4917
"17","Lower Hunter","Hunter Region, NSW, Australia","NSW",196.62,59348.0256
"18","Maitland","Maitland NSW 2320, Australia","NSW",118.43,59921.5982
"19","Port Stephens","Port Stephens, NSW, Australia","NSW",126.43,50621.6876
"20","Upper Hunter","Upper Hunter, NSW, Australia","NSW",215.33,60899.1266
"21","Dapto - Port Kembla","New Dapto Rd, Wollongong NSW 2500, Australia","NSW",82.78,53904.6654
"22","Kiama - Shellharbour","Kiama NSW 2533, Australia","NSW",108.23,54494.9765
"23","Wollongong","Wollongong NSW 2500, Australia","NSW",85.2,59477.47
"24","Great Lakes","Great Lakes, NSW, Australia","NSW",169.88,40714.7274
"25","Kempsey - Nambucca","Nambucca Dr, Scotts Head NSW 2447, Australia","NSW",312.43,38968.3439
"26","Lord Howe Island","Lord Howe Island, New South Wales, Australia","NSW",NA,46438.1785
"27","Port Macquarie","Port Macquarie NSW 2444, Australia","NSW",249.92,44564.5824
