sa3,sa3_name,mean,state,capital
10102,Queanbeyan,66436.2224,NSW,Sydney
10103,Snowy Mountains,48153.3168,NSW,Sydney
10104,South Coast,42638.539,NSW,Sydney
10105,Goulburn - Mulwaree,50038.0719,NSW,Sydney
10106,Young - Yass,54680.2159,NSW,Sydney
10201,Gosford,53948.1855,NSW,Sydney
10202,Wyong,48515.9843,NSW,Sydney
10301,Bathurst,53620.1109,NSW,Sydney
10302,Lachlan Valley,48386.5399,NSW,Sydney
10303,Lithgow - Mudgee,53934.7947,NSW,Sydney
10304,Orange,55316.2789,NSW,Sydney
10401,Clarence Valley,39620.0295,NSW,Sydney
10402,Coffs Harbour,43925.1717,NSW,Sydney
10501,Bourke - Cobar - Coonamble,54182.5245,NSW,Sydney
10502,Broken Hill and Far West,51906.0885,NSW,Sydney
10503,Dubbo,49281.4917,NSW,Sydney
10601,Lower Hunter,59348.0256,NSW,Sydney
10602,Maitland,59921.5982,NSW,Sydney
10603,Port Stephens,50621.6876,NSW,Sydney
10604,Upper Hunter,60899.1266,NSW,Sydney
10701,Dapto - Port Kembla,53904.6654,NSW,Sydney
10703,Kiama - Shellharbour,54494.9765,NSW,Sydney
10704,Wollongong,59477.47,NSW,Sydney
10801,Great Lakes,40714.7274,NSW,Sydney
10802,Kempsey - Nambucca,38968.3439,NSW,Sydney
10803,Lord Howe Island,46438.1785,NSW,Sydney
10804,Port Macquarie,44564.5824,NSW,Sydney
10805,Taree - Gloucester,42234.5832,NSW,Sydney
10901,Albury,52121.4572,NSW,Sydney
10902,Lower Murray,43795.7273,NSW,Sydney
10903,Upper Murray exc. Albury,44764.3285,NSW,Sydney
11001,Armidale,46399.122,NSW,Sydney
11002,Inverell - Tenterfield,37729.6949,NSW,Sydney
11003,Moree - Narrabri,51594.7524,NSW,Sydney
11004,Tamworth - Gunnedah,48393.2353,NSW,Sydney
11101,Lake Macquarie - East,57660.7848,NSW,Sydney
11102,Lake Macquarie - West,53328.861,NSW,Sydney
